tract,cbsa,blkgrps,population,households,land_acres,ht_ami,ht_80ami,ht_nmi,h_ami,h_80ami,h_nmi,t_ami,t_80ami,t_nmi,co2_per_hh_local,co2_per_acre_local,autos_per_hh_ami,autos_per_hh_80ami,autos_per_hh_nmi,vmt_per_hh_ami,vmt_per_hh_80ami,vmt_per_hh_nmi,pct_transit_commuters_ami,pct_transit_commuters_80ami,pct_transit_commuters_nmi,t_cost_ami,t_cost_80ami,t_cost_nmi,auto_ownership_cost_ami,auto_ownership_cost_80ami,auto_ownership_cost_nmi,vmt_cost_ami,vmt_cost_80ami,vmt_cost_nmi,transit_cost_ami,transit_cost_80ami,transit_cost_nmi,transit_trips_ami,transit_trips_80ami,transit_trips_nmi,compact_ndx,emp_ovrll_ndx,gross_hh_density,hh_gravity,frac_sfd,emp_gravity,emp_ndx,block_size,h_cost,median_smoc,median_gross_rent,pct_owner_occupied_hu,pct_renter_occupied_hu
"""06001400100""","""San Francisco-Oakland-Berkeley, CA""",2.00,3269.00,1377.00,1716.36,50,63,84,37,46,63,14,17,21,5.16,6.39,2.06,2,2,16296,16099,15633,2,2,2,17624,17230,15934,13235,12891,11718,4287,4235,4111,103,105,106,46,47,47,5.0,9.3,0.80,31965,73,34475,38,28,3955,4001,3501,91,9
"""06001400200""","""San Francisco-Oakland-Berkeley, CA""",2.00,2147.00,876.00,144.94,43,53,72,31,39,54,11,14,18,3.60,21.76,1.72,2,2,11878,11681,11215,14,14,14,14798,14411,13223,11056,10711,9640,3125,3073,2949,618,627,633,276,280,283,8.9,9.5,6.04,59986,64,68390,37,5,3377,4001,2487,56,44
"""06001400300""","""San Francisco-Oakland-Berkeley, CA""",4.00,5619.00,2638.00,274.49,38,47,63,27,34,47,11,13,16,2.42,24.23,1.57,2,1,10448,10251,9785,16,17,17,13603,13219,12075,10109,9765,8738,2748,2696,2573,746,757,764,333,338,341,9.1,9.6,9.61,65802,43,80183,36,4,2927,4001,2417,36,64
"""06001400400""","""San Francisco-Oakland-Berkeley, CA""",3.00,4278.00,1760.00,176.96,38,48,64,28,34,47,11,13,17,3.61,37.18,1.64,2,1,11236,11039,10573,15,15,16,14195,13810,12645,10555,10211,9163,2956,2904,2780,685,695,702,307,311,314,9.1,9.5,9.95,63607,47,73416,37,4,2965,3695,2333,50,50
"""06001400500""","""San Francisco-Oakland-Berkeley, CA""",3.00,3949.00,1679.00,146.14,34,42,57,23,29,40,11,13,17,3.30,38.03,1.63,2,1,11185,10988,10523,15,15,15,14096,13710,12548,10491,10147,9102,2942,2890,2767,663,673,679,299,304,306,9.2,9.5,11.49,66711,45,79080,37,4,2506,2787,2187,48,52
"""06001400600""","""San Francisco-Oakland-Berkeley, CA""",2.00,2058.00,768.00,73.60,38,47,63,27,34,47,11,13,16,3.89,40.57,1.59,2,1,10749,10552,10086,16,16,16,13771,13386,12237,10222,9878,8846,2827,2776,2652,721,732,738,322,327,330,9.3,9.5,10.43,68136,42,84620,37,4,2955,3857,2360,40,60
"""06001400700""","""San Francisco-Oakland-Berkeley, CA""",4.00,4758.00,2012.00,213.93,35,44,59,25,31,43,10,13,16,3.51,33.56,1.57,2,1,10738,10541,10075,13,13,14,13493,13107,11964,10069,9725,8700,2825,2773,2649,600,610,615,268,272,275,9.3,9.5,9.40,67368,40,88338,38,3,2668,3432,2183,37,63
"""06001400800""","""San Francisco-Oakland-Berkeley, CA""",3.00,4335.00,1885.00,179.35,33,41,55,23,29,39,10,13,16,3.56,37.29,1.55,1,1,11191,10994,10529,13,13,13,13439,13052,11916,9923,9579,8561,2944,2892,2768,572,581,587,256,260,262,9.3,9.3,10.51,60013,31,84425,39,3,2469,3454,2016,35,65
"""06001400900""","""San Francisco-Oakland-Berkeley, CA""",2.00,2844.00,1113.00,100.75,34,43,57,24,30,41,10,13,16,3.95,43.74,1.56,2,1,11054,10857,10392,13,13,13,13530,13143,12002,10037,9693,8669,2908,2856,2732,586,595,601,261,266,268,9.3,9.4,11.05,64917,37,89395,38,4,2589,3341,2181,36,64
"""06001401000""","""San Francisco-Oakland-Berkeley, CA""",6.00,6277.00,2302.00,283.92,33,41,55,23,29,39,11,13,16,3.62,35.98,1.59,2,1,10431,10234,9768,16,16,17,13661,13276,12128,10191,9847,8816,2744,2692,2569,726,737,744,324,329,332,9.3,9.6,8.11,69698,51,101709,36,4,2459,2483,2199,41,59
"""06001401100""","""San Francisco-Oakland-Berkeley, CA""",4.00,5537.00,2649.00,215.80,32,39,53,22,28,38,10,12,15,2.59,33.13,1.43,1,1,9274,9077,8611,20,21,21,12544,12162,11063,9176,8832,7849,2439,2388,2264,928,942,950,415,421,424,9.4,9.7,12.27,72760,21,98853,36,4,2378,3659,2087,21,79
"""06001401200""","""San Francisco-Oakland-Berkeley, CA""",3.00,2994.00,1429.00,163.98,40,49,66,29,37,50,10,13,16,2.97,25.98,1.56,2,1,9879,9682,9216,17,17,17,13360,12975,11837,9997,9653,8632,2599,2547,2423,764,775,782,341,346,349,9.3,9.7,8.71,72468,46,94430,35,3,3154,3675,2850,39,61
"""06001401300""","""San Francisco-Oakland-Berkeley, CA""",3.00,4608.00,2401.00,212.98,30,38,51,22,27,37,9,11,13,1.78,24.49,1.30,1,1,8293,8096,7630,21,21,21,11473,11090,10030,8357,8013,7068,2181,2130,2006,934,948,955,417,423,426,9.5,9.8,11.27,76772,5,135851,35,3,2327,2688,2141,13,87
"""06001401400""","""San Francisco-Oakland-Berkeley, CA""",3.00,5392.00,1741.00,186.51,30,37,49,20,25,35,9,11,14,3.65,38.49,1.42,1,1,9001,8804,8338,17,17,17,12238,11853,10756,9120,8776,7795,2368,2316,2193,750,762,769,335,340,343,9.5,9.8,9.33,71833,26,127176,35,3,2194,2248,2130,23,77
"""06001401500""","""San Francisco-Oakland-Berkeley, CA""",3.00,3035.00,1203.00,115.58,27,33,45,17,21,29,10,12,15,3.18,33.07,1.53,1,1,10107,9910,9445,9,9,9,12908,12519,11386,9844,9500,8486,2659,2607,2483,405,412,416,181,184,186,9.4,9.6,10.41,64842,33,111857,36,3,1841,3382,1143,36,64
"""06001401600""","""San Francisco-Oakland-Berkeley, CA""",2.00,2403.00,909.00,157.19,29,36,48,20,25,34,10,12,14,3.12,19.00,1.44,1,1,9533,9336,8870,12,13,13,12299,11912,10808,9227,8883,7898,2508,2456,2332,564,573,578,252,256,258,9.4,9.7,5.78,64767,15,127517,36,3,2132,3378,1617,28,72
